subjID	opt1hprob	opt2hprob	opt1hval	opt1lval	opt2hval	opt2lval	choice
2	0.1	0.1	-12	-16	45	37	2
2	0.2	0.9	7	-44	9	-42	2
2	0.9	0.1	23	-24	39	14	2
2	0.4	0.8	32	21	29	10	1
2	0.8	0.3	-37	-49	18	-49	2
2	0.5	0.4	26	-31	18	-30	1
2	0.6	0.4	15	-27	19	10	2
2	0.9	0.9	8	-21	38	33	2
2	0.8	0.7	30	4	-14	-31	1
2	0.7	0.4	20	17	21	-38	1
2	0.4	0.9	21	-40	-11	-29	2
2	0.2	0.4	25	-8	30	-3	2
2	0.9	0.6	24	11	7	-12	1
2	0.3	0.7	44	-17	-14	-48	1
2	0.8	0.4	25	1	19	-14	1
2	0.3	0.1	35	-2	4	-20	1
2	0.2	0.7	2	-42	8	-14	2
2	0.9	0.3	35	1	39	-50	1
2	0.3	0.8	13	-4	33	-49	1
2	0.9	0.2	24	-12	15	-5	1
2	0.7	0.1	23	-19	-20	-27	1
2	0.4	0.5	24	-39	49	-6	2
2	0.9	0.9	50	28	41	-19	1
2	0.9	0.6	15	-28	-13	-22	1
2	0.2	0.2	50	-6	47	42	2
2	0.4	0.6	10	-38	0	-12	2
2	0.1	0.7	39	-17	26	4	2
2	0.2	0.1	38	-49	28	-22	1
2	0.9	0.2	-11	-25	50	37	2
2	0.4	0.7	30	-32	34	-39	2
2	0.7	0.8	6	-22	-22	-50	1
2	0.9	0.9	9	-14	40	-23	2
2	0.8	0.6	-43	-46	20	13	2
2	0.6	0.1	31	-39	15	-16	1
2	0.8	0.9	-12	-23	15	0	2
2	0.1	0.3	-4	-19	38	10	2
2	0.9	0.6	37	-46	24	-27	1
2	0.4	0.7	16	-32	34	-31	2
2	0.9	0.9	36	27	14	-32	1
2	0.2	0.7	1	-49	33	-48	2
2	0.6	0.8	-7	-29	33	7	2
2	0.4	0.2	9	-8	29	-24	1
2	0.3	0.6	-16	-35	45	10	2
2	0.5	0.6	49	-14	17	-13	1
2	0.3	0.6	-4	-11	18	-10	2
2	0.6	0.4	-20	-43	-8	-18	1
2	0.5	0.7	15	-16	16	11	2
2	0.1	0.7	32	8	-10	-12	1
2	0.8	0.3	10	-35	2	-35	1
2	0.9	0.4	-30	-41	9	-25	2
2	0.1	0.2	-25	-37	-9	-17	2
2	0.9	0.7	22	-5	34	-35	1
2	0.9	0.3	-28	-37	-4	-42	2
2	0.1	0.7	27	-34	9	-3	2
2	0.6	0.9	16	6	-45	-49	1
2	0.6	0.3	33	11	-1	-7	1
2	0.7	0.5	42	-1	15	-42	1
2	0.6	0.8	49	25	20	-29	1
2	0.4	0.3	27	-38	-13	-19	1
2	0.8	0.5	11	-11	-5	-41	1
2	0.2	0.8	22	-3	1	-35	1
2	0.1	0.9	15	-18	-14	-48	1
2	0.1	0.6	47	33	48	-23	1
2	0.7	0.1	39	-8	-24	-27	1
2	0.9	0.7	16	-22	48	-27	2
2	0.3	0.7	28	14	37	-33	1
2	0.2	0.8	40	22	28	25	2
2	0.9	0.2	9	-35	34	-50	1
2	0.9	0.9	37	-45	40	-45	2
2	0.9	0.5	-13	-33	30	-26	2
2	0.5	0.6	32	-23	-3	-45	1
2	0.1	0.5	34	9	47	-41	1
2	0.5	0.4	-26	-35	35	24	2
2	0.5	0.4	6	-15	-4	-47	1
2	0.1	0.5	45	-28	16	-17	2
2	0.2	0.4	47	-5	38	-39	2
2	0.4	0.5	15	-41	40	-12	2
2	0.5	0.5	49	-21	49	-38	1
2	0.5	0.5	10	-5	45	-37	2
2	0.5	0.7	24	19	3	-39	1
2	0.5	0.9	19	3	-1	-37	1
2	0.8	0.7	-9	-43	44	-32	2
2	0.9	0.1	47	27	50	-22	1
2	0.3	0.8	35	30	27	-32	1
2	0.4	0.2	25	-25	29	28	2
2	0.5	0.9	-38	-42	24	11	2
2	0.5	0.1	-1	-38	46	-47	2
2	0.2	0.6	26	2	12	-14	1
2	0.3	0.2	-35	-42	28	7	2
2	0.9	0.2	7	-37	21	6	1
2	0.3	0.1	2	-29	40	-38	1
2	0.1	0.5	7	-47	3	-18	2
2	0.6	0.4	-14	-50	6	-49	2
2	0.5	0.3	32	17	45	-31	1
2	0.5	0.8	-10	-26	5	-48	2
2	0.7	0.1	-8	-33	26	-10	2
2	0.7	0.4	43	-26	32	-41	1
2	0.1	0.1	30	-24	38	-28	1
2	0.7	0.4	-21	-26	10	-22	2
2	0.6	0.4	23	17	7	-32	1
2	0.5	0.2	41	30	33	-37	1
2	0.2	0.8	-28	-48	34	3	2
2	0.4	0.2	-13	-30	47	33	2
2	0.9	0.2	47	25	20	-43	1
2	0.6	0.4	-3	-32	-7	-34	1
2	0.2	0.5	-20	-49	2	-22	2
2	0.7	0.9	9	-19	-12	-44	1
2	0.7	0.8	1	-20	17	-1	2
2	0.4	0.9	19	-38	-9	-48	1
2	0.7	0.3	8	-5	47	38	2
2	0.7	0.2	35	-4	16	6	1
2	0.8	0.4	46	9	-27	-43	1
2	0.2	0.7	-6	-28	40	31	2
2	0.2	0.2	31	-17	44	21	2
2	0.7	0.5	9	5	9	-2	1
2	0.9	0.3	26	-23	14	9	1
2	0.8	0.3	27	-12	-31	-35	1
2	0.1	0.7	-23	-25	16	-27	2
2	0.9	0.9	8	-48	2	-49	1
2	0.3	0.6	19	-34	-20	-31	1
2	0.4	0.3	26	-5	8	-31	1
2	0.4	0.2	40	25	39	-17	1
2	0.2	0.2	33	-33	40	31	2
2	0.1	0.1	28	-43	10	-26	2
2	0.6	0.9	14	6	3	-14	1
2	0.9	0.1	-2	-37	12	-33	1
2	0.9	0.5	35	26	44	39	2
2	0.5	0.9	50	36	35	-13	1
2	0.3	0.1	6	-44	-10	-36	1
2	0.8	0.9	47	10	3	-12	1
2	0.2	0.2	48	-43	-23	-31	2
2	0.1	0.1	-27	-50	12	4	2
2	0.3	0.7	33	2	48	7	2
2	0.4	0.8	24	23	34	-36	1
2	0.9	0.6	22	-30	25	21	2
2	0.3	0.5	48	43	-11	-49	1
2	0.6	0.4	10	-16	1	-9	2
2	0.4	0.7	41	-32	28	-21	2
2	0.6	0.9	45	25	14	-5	1
2	0.4	0.3	43	-49	44	6	2
2	0.1	0.9	36	-9	12	-30	2
2	0.9	0.5	-37	-48	42	-29	2
2	0.8	0.6	42	-42	2	-13	1
2	0.8	0.3	30	-10	4	-40	1
2	0.2	0.9	33	9	-21	-46	1
2	0.3	0.7	-24	-33	-2	-20	2
2	0.8	0.3	30	18	17	8	1
2	0.1	0.6	23	-37	26	-39	2
2	0.5	0.4	31	-50	49	-3	2
2	0.4	0.1	-4	-33	41	-8	2
2	0.7	0.1	16	-46	14	-35	1
2	0.6	0.9	-4	-34	46	2	2
2	0.6	0.1	-13	-21	10	-8	1
2	0.9	0.9	3	2	48	-35	2
2	0.4	0.6	13	-4	43	-43	2
2	0.6	0.6	-19	-43	24	-18	2
2	0.2	0.2	20	-14	50	-1	2
2	0.6	0.5	-42	-48	-24	-27	2
2	0.8	0.2	31	-20	4	-44	1
2	0.8	0.1	8	2	27	-28	1
2	0.4	0.1	29	1	3	-22	1
2	0.1	0.8	27	-34	9	-7	2
2	0.4	0.4	14	-7	45	-43	2
2	0.9	0.2	7	5	38	-33	1
2	0.5	0.9	37	-2	42	-26	2
2	0.4	0.1	45	3	13	-34	1
2	0.9	0.6	47	-28	39	-15	1
2	0.4	0.2	1	-3	26	-8	2
2	0.9	0.7	34	22	23	13	1
2	0.5	0.9	-2	-34	6	1	2
2	0.1	0.2	35	-36	44	-29	2
2	0.9	0.1	-5	-20	42	36	2
2	0.1	0.3	2	1	35	-20	1
2	0.6	0.6	-24	-39	39	-9	2
2	0.9	0.8	6	-35	13	-49	1
2	0.5	0.7	17	-30	1	-46	2
2	0.5	0.2	30	-43	34	9	2
2	0.3	0.1	49	-42	13	-1	2
2	0.6	0.2	50	19	-16	-29	1
2	0.1	0.2	36	6	34	3	1
2	0.9	0.7	-8	-26	12	1	2
2	0.7	0.3	-15	-35	8	-35	2
2	0.1	0.3	-27	-47	40	28	2
2	0.7	0.8	12	-15	-29	-38	1
2	0.7	0.9	26	-25	-5	-22	1
2	0.1	0.3	50	35	49	17	1
2	0.6	0.7	0	-28	26	-12	2
2	0.6	0.9	8	-8	8	1	2
2	0.4	0.4	15	13	35	-16	1
2	0.6	0.8	32	8	47	-8	2
2	0.4	0.4	48	-7	13	-1	1
2	0.9	0.9	7	-12	28	-24	2
2	0.2	0.3	36	11	34	-24	1
2	0.2	0.1	-36	-46	-34	-46	2
2	0.3	0.4	41	-28	11	-5	2
2	0.3	0.9	35	31	22	12	1
2	0.2	0.7	34	-47	7	4	2
2	0.3	0.5	-4	-7	23	-36	1
2	0.6	0.7	30	12	-6	-22	1
2	0.4	0.5	28	27	12	-35	1
2	0.5	0.2	-7	-28	27	17	2
2	0.1	0.8	50	-17	4	-16	2
2	0.1	0.6	-15	-30	34	19	2
2	0.8	0.7	19	-19	-17	-32	1
2	0.3	0.7	24	14	-8	-31	1
2	0.4	0.3	34	-16	12	-17	1
2	0.3	0.7	25	-35	43	41	2
2	0.7	0.8	37	11	39	26	2
2	0.1	0.7	21	-29	39	-41	2
2	0.4	0.5	25	14	50	-19	2
2	0.7	0.9	24	-14	18	-10	1
2	0.7	0.7	37	-31	13	-1	1
2	0.8	0.4	3	-26	-20	-48	1
2	0.9	0.8	35	-14	24	-40	1
2	0.3	0.5	7	-47	31	-21	2
2	0.1	0.6	28	-27	-34	-46	2
2	0.9	0.6	-18	-41	37	-44	2
2	0.8	0.2	-22	-28	-5	-46	1
2	0.2	0.4	12	-39	12	-3	2
2	0.1	0.7	29	-13	-17	-42	1
2	0.9	0.1	31	26	6	-23	1
2	0.4	0.2	42	-11	47	-29	1
2	0.9	0.8	-9	-29	-4	-47	2
2	0.1	0.9	31	-50	42	2	2
2	0.6	0.1	6	-14	26	-46	1
2	0.8	0.9	35	-46	-10	-35	1
2	0.1	0.8	11	-6	26	-13	2
2	0.8	0.8	31	-2	22	-15	1
2	0.7	0.8	22	6	41	-22	2
2	0.8	0.6	-42	-47	33	-9	2
2	0.5	0.9	15	-25	1	-22	1
2	0.8	0.8	-40	-50	11	4	2
2	0.2	0.7	50	34	5	-24	1
2	0.1	0.6	7	-17	49	-1	2
2	0.7	0.8	27	-50	17	-10	2
2	0.2	0.7	47	-33	23	-46	2
2	0.6	0.5	27	-37	-18	-31	1
2	0.5	0.9	-1	-49	-2	-17	2
2	0.5	0.2	-19	-28	46	-47	2
2	0.5	0.4	-7	-20	38	4	2
2	0.3	0.4	20	-4	27	13	2
2	0.8	0.1	-15	-16	45	-10	2
2	0.6	0.5	19	1	-21	-42	1
2	0.1	0.3	5	-4	20	-8	2
2	0.1	0.7	-36	-37	29	22	2
2	0.4	0.5	24	0	11	-20	1
2	0.5	0.3	-42	-48	24	-7	2
2	0.1	0.7	29	6	15	-35	2
2	0.4	0.6	-13	-47	48	-2	2
2	0.5	0.1	36	4	21	-24	1
2	0.8	0.4	-13	-38	38	-8	2
2	0.5	0.1	41	-22	-1	-12	1
2	0.7	0.4	40	30	16	-18	1
2	0.4	0.3	11	-9	47	38	2
2	0.4	0.7	-10	-17	2	-11	2
2	0.9	0.1	-2	-20	28	13	2
2	0.9	0.6	-8	-38	45	-14	2
2	0.9	0.1	5	-8	0	-37	2
2	0.3	0.7	-10	-24	46	19	2
2	0.9	0.7	-22	-25	-14	-16	2
2	0.8	0.4	-21	-28	44	-4	2
2	0.2	0.7	18	-49	46	-17	2
2	0.2	0.6	50	-49	26	-18	2
2	0.5	0.6	30	17	50	38	2
2	0.4	0.7	43	-31	0	-27	1
2	0.3	0.3	21	-22	35	-49	1
2	0.2	0.3	25	-43	43	-50	2
2	0.8	0.5	8	-22	4	-39	1
2	0.8	0.6	-13	-20	21	-18	2
2	0.4	0.6	-8	-31	1	-9	2
2	0.2	0.1	20	-25	-3	-23	1
2	0.7	0.3	41	-47	46	-35	1
2	0.2	0.8	23	-48	31	-9	2
2	0.9	0.8	20	-38	-19	-38	1
2	0.8	0.5	27	12	47	35	2
2	0.5	0.8	43	8	19	-45	1
2	0.7	0.4	-7	-14	7	5	2
2	0.9	0.5	41	-12	48	29	1
2	0.5	0.8	29	-34	-21	-49	1
2	0.1	0.4	1	-6	49	-18	2
2	0.2	0.2	49	-40	-15	-20	1
2	0.8	0.6	40	-15	37	-8	1
2	0.5	0.9	7	-48	-17	-50	1
2	0.4	0.3	40	15	-6	-49	1
2	0.4	0.9	36	14	13	-29	1
3	0.5	0.5	46	32	36	10	1
3	0.3	0.1	0	-26	-34	-42	1
3	0.7	0.1	49	25	-29	-39	1
3	0.5	0.5	3	-18	8	-11	2
3	0.4	0.8	-12	-40	-17	-50	2
3	0.2	0.3	49	-14	-33	-39	1
3	0.3	0.1	-18	-19	30	8	2
3	0.2	0.4	48	-4	49	30	2
3	0.1	0.3	42	29	14	-7	1
3	0.1	0.3	-20	-40	39	1	2
3	0.9	0.2	37	-25	4	-9	1
3	0.8	0.7	-12	-46	25	-11	2
3	0.6	0.6	15	-41	17	-40	2
3	0.7	0.8	0	-4	32	9	2
3	0.2	0.6	47	-4	13	-41	1
3	0.4	0.7	11	-7	-11	-30	1
3	0.8	0.3	38	-42	-26	-39	1
3	0.1	0.7	47	-32	-11	-34	2
3	0.3	0.3	33	-7	32	-27	2
3	0.7	0.6	-9	-10	33	-47	2
3	0.1	0.9	17	-23	11	-2	2
3	0.9	0.8	-2	-49	36	4	2
3	0.3	0.3	11	-19	2	-38	1
3	0.6	0.8	-16	-20	25	-16	2
3	0.2	0.1	49	-43	18	-39	1
3	0.3	0.4	31	-49	-12	-50	1
3	0.5	0.3	42	1	49	-27	1
3	0.5	0.4	23	-21	29	-47	1
3	0.3	0.8	0	-35	6	-17	2
3	0.3	0.4	29	-22	35	6	2
3	0.7	0.7	-28	-35	-20	-34	1
3	0.8	0.1	2	-25	39	-5	1
3	0.4	0.5	18	-37	39	-40	2
