trial	offer	accept	subjID	group
1	3	0	3	LM
2	5	0	3	LM
3	4	0	3	LM
4	3	0	3	LM
5	2	0	3	LM
6	4	0	3	LM
7	6	1	3	LM
8	5	1	3	LM
9	5	0	3	LM
10	5	0	3	LM
11	4	0	3	LM
12	4	0	3	LM
13	5	1	3	LM
14	6	1	3	LM
15	4	0	3	LM
16	5	0	3	LM
17	4	0	3	LM
18	7	1	3	LM
19	3	0	3	LM
20	4	0	3	LM
21	5	1	3	LM
22	3	0	3	LM
23	4	0	3	LM
24	5	1	3	LM
25	4	0	3	LM
26	5	1	3	LM
27	5	1	3	LM
28	5	1	3	LM
29	3	0	3	LM
30	4	0	3	LM
31	10	1	3	LM
32	8	1	3	LM
33	9	1	3	LM
34	11	1	3	LM
35	6	1	3	LM
36	9	1	3	LM
37	9	1	3	LM
38	7	1	3	LM
39	6	1	3	LM
40	8	1	3	LM
41	8	1	3	LM
42	9	1	3	LM
43	8	1	3	LM
44	8	1	3	LM
45	6	0	3	LM
46	7	0	3	LM
47	8	1	3	LM
48	8	1	3	LM
49	8	1	3	LM
50	9	1	3	LM
51	8	1	3	LM
52	7	0	3	LM
53	9	1	3	LM
54	9	1	3	LM
55	8	1	3	LM
56	8	1	3	LM
57	8	1	3	LM
58	9	1	3	LM
59	7	0	3	LM
60	8	0	3	LM
1	4	0	4	LM
2	3	0	4	LM
3	2	0	4	LM
4	5	0	4	LM
5	6	0	4	LM
6	3	0	4	LM
7	2	0	4	LM
8	4	0	4	LM
9	5	0	4	LM
10	6	1	4	LM
11	4	0	4	LM
12	3	0	4	LM
13	2	0	4	LM
14	3	0	4	LM
15	4	0	4	LM
16	3	0	4	LM
17	4	0	4	LM
18	5	1	4	LM
19	4	0	4	LM
20	3	0	4	LM
21	2	0	4	LM
22	3	0	4	LM
23	4	1	4	LM
24	6	1	4	LM
25	5	1	4	LM
26	6	1	4	LM
27	5	0	4	LM
28	3	0	4	LM
29	5	0	4	LM
30	3	0	4	LM
31	11	1	4	LM
32	8	1	4	LM
33	9	1	4	LM
34	6	0	4	LM
35	10	1	4	LM
36	9	1	4	LM
37	10	1	4	LM
38	8	1	4	LM
39	9	1	4	LM
40	10	1	4	LM
41	8	1	4	LM
42	7	0	4	LM
43	7	0	4	LM
44	11	1	4	LM
45	12	1	4	LM
46	8	1	4	LM
47	8	1	4	LM
48	6	0	4	LM
49	11	1	4	LM
50	9	1	4	LM
51	9	1	4	LM
52	7	0	4	LM
53	8	1	4	LM
54	9	1	4	LM
55	9	1	4	LM
56	8	1	4	LM
57	10	1	4	LM
58	9	1	4	LM
59	7	0	4	LM
60	6	0	4	LM
1	3	0	5	LM
2	5	1	5	LM
3	2	0	5	LM
4	2	0	5	LM
5	5	1	5	LM
6	4	1	5	LM
7	6	1	5	LM
8	2	0	5	LM
9	3	1	5	LM
10	5	1	5	LM
11	5	1	5	LM
12	4	0	5	LM
13	4	0	5	LM
14	4	0	5	LM
15	4	1	5	LM
16	3	0	5	LM
17	2	0	5	LM
18	5	1	5	LM
19	3	0	5	LM
20	5	1	5	LM
21	3	0	5	LM
22	3	0	5	LM
23	4	0	5	LM
24	5	1	5	LM
25	3	0	5	LM
26	6	1	5	LM
27	7	1	5	LM
28	6	1	5	LM
29	6	1	5	LM
30	4	0	5	LM
31	8	1	5	LM
32	6	1	5	LM
33	11	1	5	LM
34	8	1	5	LM
35	8	1	5	LM
36	10	1	5	LM
37	7	0	5	LM
38	11	1	5	LM
39	8	1	5	LM
40	8	1	5	LM
41	9	1	5	LM
42	11	1	5	LM
43	8	1	5	LM
44	7	1	5	LM
45	7	1	5	LM
46	9	1	5	LM
47	9	1	5	LM
48	7	1	5	LM
49	7	1	5	LM
50	7	1	5	LM
51	10	1	5	LM
52	11	1	5	LM
53	7	1	5	LM
54	7	1	5	LM
55	7	1	5	LM
56	9	1	5	LM
57	5	0	5	LM
58	8	1	5	LM
59	10	1	5	LM
60	11	1	5	LM
1	2	0	6	LM
2	3	0	6	LM
3	6	1	6	LM
4	5	1	6	LM
5	5	1	6	LM
6	4	1	6	LM
7	3	0	6	LM
8	6	1	6	LM
9	2	0	6	LM
10	3	0	6	LM
11	4	1	6	LM
12	6	1	6	LM
13	4	1	6	LM
14	4	1	6	LM
15	3	0	6	LM
16	4	1	6	LM
17	3	1	6	LM
18	5	1	6	LM
19	4	1	6	LM
20	3	1	6	LM
21	5	1	6	LM
22	4	1	6	LM
23	3	1	6	LM
24	5	1	6	LM
25	5	1	6	LM
26	4	1	6	LM
27	3	1	6	LM
28	3	1	6	LM
29	5	1	6	LM
30	6	1	6	LM
31	8	1	6	LM
32	8	1	6	LM
33	10	1	6	LM
34	5	1	6	LM
35	6	1	6	LM
36	9	1	6	LM
37	8	1	6	LM
38	7	1	6	LM
39	9	1	6	LM
40	8	1	6	LM
41	8	1	6	LM
42	6	1	6	LM
43	7	1	6	LM
44	10	1	6	LM
45	7	1	6	LM
46	10	1	6	LM
47	7	1	6	LM
48	8	1	6	LM
49	6	1	6	LM
50	9	1	6	LM
51	9	1	6	LM
52	11	1	6	LM
53	9	1	6	LM
54	6	1	6	LM
55	12	1	6	LM
56	7	1	6	LM
57	7	1	6	LM
58	5	1	6	LM
59	8	1	6	LM
60	10	1	6	LM
1	3	0	7	LM
2	6	0	7	LM
3	4	0	7	LM
4	6	1	7	LM
5	5	0	7	LM
6	4	0	7	LM
7	5	0	7	LM
8	5	0	7	LM
9	3	0	7	LM
10	6	1	7	LM
11	4	0	7	LM
12	3	0	7	LM
13	2	0	7	LM
14	4	0	7	LM
15	3	0	7	LM
16	3	0	7	LM
17	6	1	7	LM
18	5	0	7	LM
19	4	0	7	LM
20	3	0	7	LM
21	4	0	7	LM
22	2	0	7	LM
23	4	1	7	LM
24	2	0	7	LM
25	3	0	7	LM
26	6	1	7	LM
27	8	1	7	LM
28	5	0	7	LM
29	7	1	7	LM
30	1	0	7	LM
31	7	1	7	LM
32	7	1	7	LM
33	10	1	7	LM
34	7	1	7	LM
35	7	1	7	LM
36	7	1	7	LM
37	12	1	7	LM
38	10	1	7	LM
39	10	1	7	LM
40	12	1	7	LM
41	8	1	7	LM
42	8	1	7	LM
43	9	1	7	LM
44	6	0	7	LM
45	7	0	7	LM
46	10	1	7	LM
47	9	1	7	LM
48	7	1	7	LM
49	7	0	7	LM
50	8	1	7	LM
51	7	0	7	LM
52	9	1	7	LM
53	12	1	7	LM
54	8	1	7	LM
55	11	1	7	LM
56	7	0	7	LM
57	9	1	7	LM
58	8	1	7	LM
59	7	0	7	LM
60	10	1	7	LM
